segment_id,stroke_id,segment_type,point_index,x,y,z,rx,ry,rz,speed_mm_s,arc_enabled,voltage,current,tag
80beb339,681068c2,travel,0,44.6467,81.8333,115,-180,0,-135,80,0,0,0,travel
80beb339,681068c2,travel,1,44.6467,81.8333,115,-180,0,-135,80,0,0,0,travel
070ca96e,681068c2,lead_in,0,44.6467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
070ca96e,681068c2,lead_in,1,44.1467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
070ca96e,681068c2,lead_in,2,43.6467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
070ca96e,681068c2,lead_in,3,43.1467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
070ca96e,681068c2,lead_in,4,42.6467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
070ca96e,681068c2,lead_in,5,42.1467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
070ca96e,681068c2,lead_in,6,41.6467,81.8333,105,-180,0,-135,30,1,24,150,lead_in
9ea2a6d2,681068c2,weld,0,44.6467,81.8333,105,-180,0,-135,30,1,24,150,weld
9ea2a6d2,681068c2,weld,1,60.6867,81.8333,105,-180,0,-135,30,1,24,150,weld
b43030ff,681068c2,lead_out,0,60.6867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
b43030ff,681068c2,lead_out,1,61.1867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
b43030ff,681068c2,lead_out,2,61.6867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
b43030ff,681068c2,lead_out,3,62.1867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
b43030ff,681068c2,lead_out,4,62.6867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
b43030ff,681068c2,lead_out,5,63.1867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
b43030ff,681068c2,lead_out,6,63.6867,81.8333,105,-180,0,-135,30,1,24,150,lead_out
863d9a79,681068c2,retreat,0,60.6867,81.8333,115,-180,0,-135,80,0,0,0,retreat
863d9a79,681068c2,retreat,1,60.6867,81.8333,115,-180,0,-135,80,0,0,0,retreat
73c7ab8e,eb4c77a7,travel,0,52.6667,61.6667,115,-180,0,-135,80,0,0,0,travel
