segment_id,stroke_id,segment_type,point_index,x,y,z,rx,ry,rz,speed_mm_s,arc_enabled,voltage,current,tag
4b8868b3,11b7343d,travel,0,82,87.5,115,-180,0,-135,80,0,0,0,travel
4b8868b3,11b7343d,travel,1,82,87.5,115,-180,0,-135,80,0,0,0,travel
ece25460,11b7343d,lead_in,0,82,87.5,105,-180,0,-135,30,1,24,150,lead_in
ece25460,11b7343d,lead_in,1,82.3029,87.8978,105,-180,0,-135,30,1,24,150,lead_in
ece25460,11b7343d,lead_in,2,82.6058,88.2956,105,-180,0,-135,30,1,24,150,lead_in
ece25460,11b7343d,lead_in,3,82.9087,88.6934,105,-180,0,-135,30,1,24,150,lead_in
ece25460,11b7343d,lead_in,4,83.2116,89.0912,105,-180,0,-135,30,1,24,150,lead_in
ece25460,11b7343d,lead_in,5,83.5146,89.489,105,-180,0,-135,30,1,24,150,lead_in
ece25460,11b7343d,lead_in,6,83.8175,89.8868,105,-180,0,-135,30,1,24,150,lead_in
1c0c56ab,11b7343d,weld,0,82,87.5,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,1,81.407,86.7212,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,2,80.8139,85.9424,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,3,80.2209,85.1636,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,4,79.6279,84.3848,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,5,79.0349,83.606,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,6,78.4418,82.8272,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,7,77.8488,82.0484,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,8,77.2558,81.2696,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,9,76.6627,80.4908,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,10,76.0697,79.712,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,11,75.4767,78.9332,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,12,74.8837,78.1544,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,13,74.2906,77.3756,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,14,73.6976,76.5969,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,15,73.1046,75.8181,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,16,72.5115,75.0393,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,17,71.9185,74.2605,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,18,71.3255,73.4817,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,19,70.7325,72.7029,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,20,70.1394,71.9241,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,21,69.5464,71.1453,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,22,68.9534,70.3665,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,23,68.3603,69.5877,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,24,67.7673,68.8089,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,25,67.1743,68.0301,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,26,66.5813,67.2513,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,27,65.9882,66.4725,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,28,65.3952,65.6937,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,29,64.8022,64.9149,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,30,64.2091,64.1361,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,31,63.6161,63.3573,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,32,63.0231,62.5785,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,33,62.4301,61.7997,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,34,61.837,61.0209,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,35,61.244,60.2421,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,36,60.651,59.4633,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,37,60.0579,58.6845,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,38,59.4649,57.9057,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,39,58.8719,57.1269,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,40,58.2789,56.3481,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,41,57.6858,55.5693,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,42,57.0928,54.7906,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,43,56.4998,54.0118,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,44,55.9067,53.233,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,45,55.3137,52.4542,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,46,54.7207,51.6754,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,47,54.1277,50.8966,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,48,53.5346,50.1178,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,49,52.9416,49.339,105,-180,0,-135,30,1,24,150,weld
1c0c56ab,11b7343d,weld,50,52.3486,48.5602,105,-180,0,-135,30,1,24,150,weld
